venue_name,venue_address
横浜スタジアム,神奈川県横浜市中区横浜公園
横浜国際プール,神奈川県横浜市都筑区北山田7-3-1
鎌倉芸術館,神奈川県鎌倉市大船6-1-2
葉山,神奈川県三浦郡葉山町森戸海岸沖
小田原市城山陸上競技場,神奈川県小田原市城山2-29-1
小田原アリーナ,神奈川県小田原市中曽根263
中栄信金スタジアム秦野,神奈川県秦野市平沢2547-1
逗子海岸沖,神奈川県逗子市逗子海岸沖
ミューザ川崎,神奈川県川崎市幸区大宮町1310
富士通スタジアム川崎,神奈川県川崎市川崎区富士見2-1-9
明治大学生田キャンパス,神奈川県川崎市多摩区東三田1-1-1
専修大学生田キャンパス,神奈川県川崎市多摩区東三田2-1-1
青学大相模原キャンパス,神奈川県相模原市中央区淵野辺5-10-1
相模原ギオンスタジアム陸上競技場,神奈川県相模原市南区下溝4169
大和スポーツセンター競技場,神奈川県大和市上草柳1-1-11
日本大学生物資源科学部体育館,神奈川県藤沢市亀井野1866
江の島,神奈川県藤沢市江の島1-12-2
藤沢市民会館大ホール,神奈川県藤沢市鵠沼東8-1
レモンガススタジアム平塚,神奈川県平塚市大原1-1
東海大学湘南キャンパス,神奈川県平塚市北金目 4-1-1
東海大学湘南キャンパスサッカー場,神奈川県平塚市北金目3-31
東海大G,神奈川県平塚市北金目4-1-1
十和田市相撲場,青森県十和田市西十三番町624
フラット八戸,青森県八戸市尻内町三条目7-7
テクノルアイスパーク八戸,青森県八戸市新井田西4-1-1
静岡県つま恋リゾート彩の郷,静岡県掛川市満水2000
静岡県草薙総合運動場,静岡県静岡市駿河区栗原19-1
静岡・遠州灘海浜公園球技場,静岡県浜松市中央区白羽町2700-10
いしかわ総合スポーツセンター,石川県金沢市稚日野町北222
順大さくらキャンパスバスケ館,千葉県印西市平賀学園台1
順天堂さくらプール,千葉県印西市平賀学園台1-1
順天堂大学さくらキャンパス第３体育館,千葉県印西市平賀学園台1-1
バルドラール浦安アリーナ（浦安市総合体育館）,千葉県浦安市舞浜2-27
千葉県館山市/北条海岸,千葉県館山市北条
TIPSTAR DOME CHIBA,千葉県千葉市中央区弁天4-1-1
千葉ポートアリーナ,千葉県千葉市中央区問屋町1−20
船橋アリーナ,千葉県船橋市習志野台7-5-1
三井不動産アイスパーク船橋,千葉県船橋市浜町2-1-60
白子サニーテニスコート,千葉県長生郡白子町中里5357
キッコーマンアリーナ,千葉県流山市野々下1-40-1
東京国際大学第１グラウンド,千葉市若葉区御成台4-4-1
太田市運動公園陸上競技場,太田市飯塚町1059番地1
だいしんアリーナ,大阪府堺市堺区大浜北町5-7-1
大阪・堺市金岡公園体育館,大阪府堺市北区長曽根町1179-1
Asueアリーナ大阪（大阪市中央体育館）,大阪府大阪市港区田中3-1-40
能勢町ライフル射撃場,大阪府豊能郡能勢町山内19-1
長野県大町市美麻地区,長野県・大町市美麻地区
成果発表会：志賀高原総合会館98ホール,長野県下高井郡山ノ内町平穏7148-203
長野県・松本市美鈴湖自転車競技場,長野県松本市三才山1830
天神深志神社梅風閣,長野県松本市深志3-7-43
明治大学 菅平セミナーハウス,長野県上田市菅平高原字 菅平1278-292
ビッグハット,長野県長野市若里3-22-2
エムウェーブ,長野県長野市北長池195
綿半飯田野球場,長野県飯田市三日市場1986
日本大学アスレティックパーク稲城 サッカーフィールド,東京都稲城市坂浜1382
江戸川区総合文化センター,東京都江戸川区中央4-14-1
江戸川区臨海球技場,東京都江戸川区臨海町1-1-2
海の森水上競技場,東京都江東区海の森3-6-44
東京アクアティクスセンター,東京都江東区辰巳2-2-1
辰巳アイスアリーナ,東京都江東区辰巳2-8-10
BumB 東京スポーツ文化館,東京都江東区夢の島2-1-3
東京都夢の島アーチェリー場,東京都江東区夢の島2-1-4
夢の島公園アーチェリー場,東京都江東区夢の島2-1-4
有明テニスの森,東京都江東区有明2-2-22
秩父宮ラグビー場,東京都港区北青山2−8−35
渋谷光塾,東京都渋谷区渋谷3-27-15 赤坂光和ビル B1f
代々木第二体育館,東京都渋谷区神南2-1-1
代々木第一体育館,東京都渋谷区神南2丁目1−1
東京体育館,東京都渋谷区千駄ヶ谷1−17−1
昭島市民球場,東京都昭島市東町5-12
国立競技場,東京都新宿区霞ヶ丘町10-1
日本青年館ホール,東京都新宿区霞ヶ丘町4-1
早稲田アリーナ,東京都新宿区戸山1-24-11
早稲田大学学生会館,東京都新宿区戸山1-24-1早稲田大学学生会館 2F
新宿SOMEDAY,東京都新宿区新宿1-34-8
リバティホール,東京都神田駿河台1−1
リバティ体育館,東京都神田駿河台1−1
明治大学和泉キャンパス総合体育館,東京都杉並区永福1-12-18
明治大学和泉キャンパス,東京都杉並区永福1-9-1
和泉キャンパス第1校舎,東京都杉並区永福1-9-1
駒澤大学玉川キャンパス,東京都世田谷区宇奈根1−1−1
駒沢オリンピック公園硬式野球場,東京都世田谷区駒沢公園1
駒沢オリンピック公園総合運動場 屋内球技場,東京都世田谷区駒沢公園1
駒沢オリンピック公園総合運動場第一球技場,東京都世田谷区駒沢公園1
駒沢オリンピック公園総合運動場第二球技場,東京都世田谷区駒沢公園1
東京・駒沢屋内球技場,東京都世田谷区駒沢公園1
駒沢オリンピック公園総合運動体育館,東京都世田谷区駒沢公園1
馬事公苑,東京都世田谷区上用賀2-1-1
駒澤大学深沢キャンパス日本館,東京都世田谷区深沢6-8-18
日本体育大学世田谷グラウンド,東京都世田谷区深沢7-1
日本体育大学世田谷キャンパス,東京都世田谷区深沢7丁目1−1
日大八幡山,東京都世田谷区八幡山2-10-2
日本大学アスレティックセンター八幡山,東京都世田谷区八幡山2-10-2
明治大学八幡山グラウンド,東京都世田谷区八幡山2-18-10
早稲田大学 ホッケー場,東京都西東京市東伏見2-7
早稲田大学 東伏見キャンパス ホッケー場,東京都西東京市東伏見2-7-5
ダイドードリンコアイスアリーナ,東京都西東京市東伏見3-1-25
早稲田大学 東伏見キャンパス 軟式野球場,東京都西東京市東伏見3-4
靖国神社,東京都千代田区九段北3-1-1
法政大学外濠校舎,東京都千代田区富士見2-17-1
日本武道館,東京都千代田区北の丸公園2-3
東京武道館,東京都足立区綾瀬3-20-1
国士舘大学多摩キャンパス陸上競技場,東京都多摩市永山7-3-1
国士舘大学多摩キャンパス,東京都多摩市永山7-3-1
一本杉公園野球場,東京都多摩市南野2-14-1
大井ホッケー競技場サブピッチ,東京都大田区東海1-2-1
銀座ブロッサム,東京都中央区銀座2-15-6 中央区立中央会館（銀座ブロッサム）
新川区民会館,東京都中央区新川1−26-1
なかのZero,東京都中野区中野2-9-7
法政大学野球場,東京都町田市相原町
花のやまフィールドアーチェリー,東京都町田市相原町870-1
町田GIONスタジアム,東京都町田市野津田町2035
調布市文化会館たづくり　くすのきホール,東京都調布市小島町2-33-1
調布市総合体育館,東京都調布市深大寺北町2-1-65
京王アリーナTOKYO（武蔵野の森 総合スポーツプラザ）,東京都調布市西町290-11
アミノバイタルフィールド,東京都調布市西町376-3
中央大学多摩キャンパスサッカー場,東京都日野市程久保5-9-2
J:COMホール八王子,東京都八王子市子安町4-7-1 サザンスカイタワー八王子 4Ｆ
上柚木公園野球場,東京都八王子市上柚木2-51-1
中央大学多摩キャンパスラグビー場,東京都八王子市東中野
中央大学 多摩キャンパス 第2体育館,東京都八王子市東中野742-1
中央大学 多摩キャンパス 第一体育館3F アリーナ,東京都八王子市東中野742-1
大井ホッケー競技場メインピッチ,東京都品川区八潮4-1-19
大井ふ頭中央海浜公園スポーツの森,東京都品川区八潮4-1-19
内海・島岡ベースボールパーク,東京都府中市若松町5-6-1
武蔵野市市民文化会館,東京都武蔵野市中町3-9-11
文京シビックホール,東京都文京区春日1-16-21
北とぴあ さくらホール,東京都北区王子1-11-1
味の素フィールド西が丘,東京都北区赤羽西6-1
すみだトリフォニーホール,東京都墨田区錦糸1-2-3
めぐろパーシモンホール,東京都目黒区八雲1-1-1
国営昭和記念公園,東京都立川市緑町3173
栃木県ライフル射撃場,栃木県宇都宮市新里町乙1067
白鷗大大行寺キャンパス,栃木県小山市大行寺1117
足利ガスグラウンド,栃木県足利市田所町1123
天神山野球場,富山県魚津市小川寺5995
ベイコム総合体育館,兵庫県尼崎市西長洲町1-4-1
ヴィクトリーナ・ウインク体育館（姫路市立中央体育館）,兵庫県姫路市西延末90
ひがしんアリーナ（墨田区総合体育館）2階 武道場,墨田区錦糸町4-15-1錦糸公園内
東海大学湘南校舎体育会陸上競技部,神奈川県平塚市北金目4丁目1−1
新荒川大橋区営野球場,東京都北区赤羽3丁目29
江戸川総合文化センター小ホール,東京都江戸川区中央4-14-1
江戸川総合文化センター大ホール,東京都江戸川区中央4-14-1
豊洲文化センター,東京都江東区豊洲2-2-18
大田区民プラザ 大ホール,大田区下丸子3-1-3
日本基督教団浅草教会,東京都台東区西浅草3-4-5
津久井馬術場,神奈川県相模原市緑区鳥屋2253
山梨県馬術競技場,山梨県北杜市小淵沢町10060-3
岐阜市文化センター,岐阜県岐阜市金町5-7-2
岐阜しんフォーラム,岐阜県岐阜市美江寺町2-6
明治大学アカデミーコモン　アカデミーホール,東京都千代田区神田駿河台1-1
六甲アイランド甲南大学,兵庫県神戸市東灘区向洋町中8
大王谷運動公園野球場,宮崎県日向市日知屋12106
お倉が浜総合運動公園野球場,宮崎県日向市財光寺1942
和歌山セーリングセンター（セーリングナショナルトレーニングセンター）,和歌山県和歌山市毛見1514
大田区総合体育館,東京都大田区東蒲田1-11-1
蓮田市民体育館,埼玉県蓮田市閏戸2343
関西学院大学,兵庫県西宮市上ケ原山田町4-92
東京大学農学部グラウンド,東京都文京区向丘2丁目1−6
フロンタウン生田,神奈川県川崎市多摩区生田1-1
潮風スポーツ公園多目的グラウンド,神奈川県三浦市初声町下宮田
早稲田大学東伏見サッカー場,東京都西東京市東伏見2-7-5
法政大学多摩キャンパスホッケー場,東京都町田市相原町
慶應日吉下田ホッケー場,神奈川県横浜市港北区下田町1丁目18−3
葉山港,神奈川県三浦郡葉山町堀内50
かもめパーク,神奈川県横浜市泉区和泉町6505
大田区民ホール・アプリコ,東京都大田区蒲田5-33
東洋大学赤羽台キャンパス,東京都北区赤羽台1－7－11
リバティタワー,東京都千代田区神田駿河台1−1
温故学会会館,東京都渋谷区東2-9-11
タケダハムはびきのコロセアム,大阪府羽曳野市南恵我之荘4-2
サンヒルズカントリークラブ,栃木県宇都宮市上横倉町1000
大井埠頭,東京都大田区東海4丁目 6
富山新港,〒934-0024 富山県射水市越の潟町5
新西宮ヨットハーバー,兵庫県西宮市西宮浜4丁目16−1
カンセキスタジアムとちぎ,栃木県宇都宮市西川田4-4-1
大田区大森スポーツセンター,東京都大田区大森本町2丁目2
帝京大学,東京都板橋区加賀2-11-1
東京都駒沢オリンピック公園総合運動場体育館,東京都世田谷区駒沢公園1−1
安芸市営球場,高知県安芸市桜ケ丘町
富士スピードウェイ,静岡県駿東郡小山町中日向694
モーターランド野沢,長野県下高井郡野沢温泉村七ケ巻735−ロ
青山学院大学青山キャンパス,東京都渋谷区渋谷四丁目4番25号
北ガスアリーナ札幌46,北海道札幌市中央区北4条東6丁目2
小笠山総合運動公園エコパスタジアム,静岡県袋井市愛野2300−1
ミクニワールドスタジアム北九州,福岡県北九州市小倉北区浅野3丁目9−33
早稲田大学所沢キャンパス,所沢市三ケ島2-579-15
たましんRISURUホール（立川市民会館）,東京都立川市錦町3丁目3−20
国技館,東京都墨田区横網1丁目3−28
府中の森芸術劇場,東京都府中市浅間町1-2
伊勢原射撃場,神奈川県伊勢原市上粕屋2380
和泉キャンパス図書館ギャラリー,東京都杉並区永福1丁目9−1
法政大学川崎総合グラウンド,神奈川県川崎市中原区木月大町4−1
クロコくんアリーナ,愛知県名古屋市南区東又兵ヱ町5丁目1−5
松山市総合コミュニケーションセンター,愛媛県松山市湊町七丁目5番地
新さっぽろアークシティホテル,北海道札幌市厚別区厚別中央2条5丁目6−2
ブリオベッカ浦安競技場,千葉県浦安市舞浜2番地27
スリーボンドスタジアム八王子（富士森公園野球場）,東京都八王子市台町2-2（富士森公園内）
上尾市総合スポーツセンター,埼玉県上尾市東町3丁目1679
江の島ヨットハーバー,神奈川県藤沢市江の島1丁目12−2
青山学院大学相模原キャンパス,神奈川県相模原市中央区淵野辺5丁目
桐蔭学園多⽬的グラウンド,神奈川県横浜市青葉区鉄町1857
東和薬品ＲＡＣＴＡＢドーム,大阪府門真市三ツ島3丁目7−16
日産スタジアム,神奈川県横浜市港北区小机町3300
白鵬大学キャンパス,栃木県小山市駅東通り2-2-2.
保土ヶ谷サッカー場,神奈川県横浜市保土ケ谷区花見台4−2
全日本弓道連盟中央道場,東京都渋谷区代々木神園町1−1
明治神宮武道場至誠館弓道場,東京都渋谷区代々木神園町1−1
SAGAアクア（水泳場）,〒849-0923 佐賀県佐賀市日の出2丁目1番10号
港区スポーツセンター,東京都港区芝浦1-16-1（みなとパーク芝浦内3〜8階）
グリーンアリーナ神戸,兵庫県神戸市須磨区緑台
学習院大学北グラウンド,東京都豊島区目白1丁目5−1
宮城県・大和町自転車競技場,宮城県黒川郡大和町宮床字松倉92
長野県白馬村,長野県白馬村
千葉県・千葉JPFドーム,千葉県千葉市中央区弁天4-1-1
