start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,url,source
2026/07/26,,,競走部,第７４回 平塚市ナイター陸上記録会,レモンガス スタジアム平塚,,https://meiji-kyoso.com/schedule,AI抽出:high信頼度
2026/07/16,,,卓球部,全日本大学総合卓球選手権・団体の部,横浜武道館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/07/17,,,卓球部,全日本大学総合卓球選手権・団体の部,横浜武道館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/07/18,,,卓球部,全日本大学総合卓球選手権・団体の部,横浜武道館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/08/05,,,卓球部,全日本大学総合卓球選手権・個人の部（関東予選）,所沢市民体育館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/08/06,,,卓球部,全日本大学総合卓球選手権・個人の部（関東予選）,所沢市民体育館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/08/25,,,卓球部,関東学生チームカップ,駒沢体育館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/08/26,,,卓球部,関東学生チームカップ,駒沢体育館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/09/14,,,卓球部,関東学生秋季リーグ戦,港区スポーツセンター,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/09/15,,,卓球部,関東学生秋季リーグ戦,港区スポーツセンター,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/09/16,,,卓球部,関東学生秋季リーグ戦,港区スポーツセンター,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/09/25,,,卓球部,関東学生秋季リーグ戦,代々木第二体育館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/09/26,,,卓球部,関東学生秋季リーグ戦,代々木第二体育館,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/10/29,,,卓球部,全日本大学総合卓球選手権・個人の部,鹿児島市愛ハウジングアリーナ松元,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/10/30,,,卓球部,全日本大学総合卓球選手権・個人の部,鹿児島市愛ハウジングアリーナ松元,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/10/31,,,卓球部,全日本大学総合卓球選手権・個人の部,鹿児島市愛ハウジングアリーナ松元,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/11/01,,,卓球部,全日本大学総合卓球選手権・個人の部,鹿児島市愛ハウジングアリーナ松元,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/11/20,,,卓球部,全日本学生選抜卓球選手権大会,北海道・北ガスアリーナ札幌,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/11/21,,,卓球部,全日本学生選抜卓球選手権大会,北海道・北ガスアリーナ札幌,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
2026/11/22,,,卓球部,全日本学生選抜卓球選手権大会,北海道・北ガスアリーナ札幌,,http://www.meiji-tt.net/gametabletennis_list/,AI抽出:high信頼度
